dist,time
0.0000,99.7790
0.0000,67.7271
0.0000,68.0724
0.0000,62.7117
0.0000,63.4376
0.0000,67.8388
0.0000,64.5417
0.0000,65.1315
0.0000,68.5016
0.0000,69.5315
0.0000,74.4345
0.0000,72.4437
0.0000,67.7396
0.0000,63.2622
0.0000,62.7974
0.0500,113.9722
0.0500,113.7253
0.0500,114.4102
0.0500,117.9391
0.0500,115.9388
0.0500,114.0330
0.0500,113.6007
0.0500,113.3488
0.0500,117.8942
0.0500,114.9145
0.0500,113.6284
0.0500,114.4599
0.0500,115.8631
0.0500,113.7192
0.0500,114.1054
0.1000,255.9942
0.1000,259.1692
0.1000,268.3656
0.1000,256.4237
0.1000,258.6623
0.1000,262.1152
0.1000,267.8565
0.1000,256.6992
0.1000,259.4906
0.1000,256.0932
0.1000,265.8463
0.1000,256.2511
0.1000,261.9689
0.1000,257.5137
0.1000,266.6906
0.1500,507.8837
0.1500,504.1853
0.1500,508.0305
0.1500,501.8209
0.1500,493.4921
0.1500,525.2782
0.1500,504.6954
0.1500,504.6910
0.1500,501.5329
0.1500,522.5194
0.1500,507.6905
0.1500,505.3121
0.1500,496.8363
0.1500,506.3027
0.1500,497.2302
0.2000,825.3077
0.2000,826.5144
0.2000,834.0415
0.2000,828.0457
0.2000,801.2360
0.2000,814.5439
0.2000,811.7054
0.2000,827.7570
0.2000,827.1493
0.2000,828.1473
0.2000,828.2986
0.2000,811.6153
0.2000,829.5089
0.2000,825.6400
0.2000,834.3731
0.2500,1224.6160
0.2500,1232.8052
0.2500,1220.8458
0.2500,1239.0388
0.2500,1205.5572
0.2500,1227.1991
0.2500,1211.1045
0.2500,1214.8260
0.2500,1230.0046
0.2500,1216.8732
0.2500,1204.0263
0.2500,1228.6308
0.2500,1221.4298
0.2500,1219.7785
0.2500,1209.8821
0.3000,1720.2775
0.3000,1675.7689
0.3000,1736.5917
0.3000,1685.2592
0.3000,1656.9057
0.3000,1685.9401
0.3000,1764.1079
0.3000,1824.7738
0.3000,1763.3881
0.3000,1762.4819
0.3000,1798.0923
0.3000,1881.5263
0.3000,1812.5570
0.3000,1796.7728
0.3000,1805.4625
0.3500,2260.6463
0.3500,2247.5580
0.3500,2215.5001
0.3500,2297.9649
0.3500,2280.3590
0.3500,2269.8256
0.3500,2220.8194
0.3500,2293.5366
0.3500,2219.2343
0.3500,2261.6363
0.3500,2276.6070
0.3500,2295.5593
0.3500,2285.0437
0.3500,2266.9513
0.3500,2267.2198
0.4000,2913.9121
0.4000,2937.2641
0.4000,2934.5108
0.4000,2920.1354
0.4000,2954.3265
0.4000,2976.1793
0.4000,2956.2043
0.4000,2906.6334
0.4000,2915.2655
0.4000,2871.1301
0.4000,2978.3629
0.4000,2956.7393
0.4000,2951.2890
0.4000,2948.4817
0.4000,2901.5402
0.4500,3634.4812
0.4500,3598.9845
0.4500,3648.0986
0.4500,3730.2752
0.4500,3652.8592
0.4500,3597.9704
0.4500,3650.5331
0.4500,3639.6118
0.4500,3680.7124
0.4500,3791.4196
0.4500,3699.4833
0.4500,3705.3768
0.4500,3589.4882
0.4500,3718.6679
0.4500,3589.1095
0.5000,4421.9824
0.5000,4402.3938
0.5000,4423.0687
0.5000,4466.2869
0.5000,4405.6553
0.5000,4419.4776
0.5000,4429.5073
0.5000,4454.3471
0.5000,4443.9301
0.5000,4452.3519
0.5000,4454.0958
0.5000,4454.2127
0.5000,4483.2973
0.5000,4408.0204
0.5000,4459.0787

