stage,time
1,100.2140
1,90.5170
1,89.2598
1,78.4492
1,78.2821
1,75.2900
1,72.2759
1,77.3088
1,76.5780
1,73.4552
1,77.6930
1,75.7032
1,70.2179
1,77.7557
1,79.1321
2,27470.4228
2,27379.1111
2,27401.9242
2,27511.0423
2,27538.6688
2,27529.9640
2,27455.5466
2,27530.9706
2,27530.5732
2,27542.5144
2,27599.5367
2,27521.5220
2,27488.6727
2,27543.0758
2,27568.0848
3,27436.2055
3,27445.9778
3,27502.3226
3,27567.8918
3,27585.2183
3,27730.2227
3,27813.8425
3,27674.4661
3,27777.6055
3,27818.0649
3,27899.9119
3,27846.6719
3,27843.4710
3,27857.6559
3,27841.4262
4,27086.2853
4,27238.8644
4,27282.4886
4,27375.3779
4,27373.6797
4,27359.2046
4,27376.7754
4,27493.6316
4,27598.1961
4,27692.9093
4,27576.3019
4,27571.6207
4,27575.6140
4,27561.2155
4,27685.0609
