stage,time
1,28.8265
1,24.3261
1,12.7485
1,11.3471
1,11.0377
1,11.9978
1,10.8261
1,11.0664
1,11.2977
1,11.2995
1,10.8349
1,10.0789
1,10.5143
1,10.2078
1,10.5151
2,318.6166
2,353.3427
2,370.1316
2,303.3669
2,332.6075
2,363.4251
2,300.8669
2,350.5960
2,367.5168
2,308.2963
2,340.5369
2,364.4992
2,297.6804
2,371.7019
2,371.7107
3,378.8283
3,314.2383
3,366.4047
3,352.0960
3,298.8661
3,340.3115
3,338.3934
3,300.3231
3,354.4042
3,372.3713
3,302.0343
3,365.8021
3,341.6436
3,299.3235
3,367.6959
4,356.2107
4,354.2063
4,308.2762
4,354.2201
4,337.2775
4,319.6757
4,340.9670
4,343.1532
4,354.5745
4,334.1523
4,368.4722
4,317.8881
4,335.6974
4,353.8892
4,324.8954
